city_code,city_name_ko,district_code,district_name_ko,dong_code,dong_name_ko
1100000000,서울특별시,1123000000,동대문구,1123072000,휘경제1동
1100000000,서울특별시,1123000000,동대문구,1123073000,휘경제2동
1100000000,서울특별시,1123000000,동대문구,1123074000,이문제1동
1100000000,서울특별시,1123000000,동대문구,1123075000,이문제2동
1100000000,서울특별시,1126000000,중랑구,1126052000,면목제2동
1100000000,서울특별시,1126000000,중랑구,1126054000,면목제4동
1100000000,서울특별시,1126000000,중랑구,1126055000,면목제5동
1100000000,서울특별시,1126000000,중랑구,1126056500,면목본동
1100000000,서울특별시,1126000000,중랑구,1126057000,면목제7동
1100000000,서울특별시,1126000000,중랑구,1126057500,면목제3.8동
1100000000,서울특별시,1126000000,중랑구,1126058000,상봉제1동
1100000000,서울특별시,1126000000,중랑구,1126059000,상봉제2동
1100000000,서울특별시,1126000000,중랑구,1126060000,중화제1동
1100000000,서울특별시,1126000000,중랑구,1126061000,중화제2동
1100000000,서울특별시,1126000000,중랑구,1126062000,묵제1동
1100000000,서울특별시,1126000000,중랑구,1126063000,묵제2동
1100000000,서울특별시,1126000000,중랑구,1126065500,망우본동
1100000000,서울특별시,1126000000,중랑구,1126066000,망우제3동
1100000000,서울특별시,1126000000,중랑구,1126068000,신내1동
1100000000,서울특별시,1126000000,중랑구,1126069000,신내2동
1100000000,서울특별시,1129000000,성북구,1129052500,성북동
1100000000,서울특별시,1129000000,성북구,1129055500,삼선동
1100000000,서울특별시,1129000000,성북구,1129057500,동선동
1100000000,서울특별시,1129000000,성북구,1129058000,돈암제1동
1100000000,서울특별시,1129000000,성북구,1129059000,돈암제2동
1100000000,서울특별시,1129000000,성북구,1129060000,안암동
1100000000,서울특별시,1129000000,성북구,1129061000,보문동
1100000000,서울특별시,1129000000,성북구,1129062000,정릉제1동
1100000000,서울특별시,1129000000,성북구,1129063000,정릉제2동
1100000000,서울특별시,1129000000,성북구,1129064000,정릉제3동
1100000000,서울특별시,1129000000,성북구,1129065000,정릉제4동
1100000000,서울특별시,1129000000,성북구,1129066000,길음제1동
1100000000,서울특별시,1129000000,성북구,1129068500,길음제2동
1100000000,서울특별시,1129000000,성북구,1129070500,종암동
1100000000,서울특별시,1129000000,성북구,1129071500,월곡제1동
1100000000,서울특별시,1129000000,성북구,1129072500,월곡제2동
1100000000,서울특별시,1129000000,성북구,1129076000,장위제1동
1100000000,서울특별시,1129000000,성북구,1129077000,장위제2동
1100000000,서울특별시,1129000000,성북구,1129078000,장위제3동
1100000000,서울특별시,1129000000,성북구,1129081000,석관동
1100000000,서울특별시,1130500000,강북구,1130553400,삼양동
1100000000,서울특별시,1130500000,강북구,1130553500,미아동
1100000000,서울특별시,1130500000,강북구,1130554500,송중동
1100000000,서울특별시,1130500000,강북구,1130555500,송천동
1100000000,서울특별시,1130500000,강북구,1130557500,삼각산동
1100000000,서울특별시,1130500000,강북구,1130559500,번1동
1100000000,서울특별시,1130500000,강북구,1130560300,번2동
1100000000,서울특별시,1130500000,강북구,1130560800,번3동
1100000000,서울특별시,1130500000,강북구,1130561500,수유1동
1100000000,서울특별시,1130500000,강북구,1130562500,수유2동
1100000000,서울특별시,1130500000,강북구,1130563500,수유3동
1100000000,서울특별시,1130500000,강북구,1130564500,우이동
1100000000,서울특별시,1130500000,강북구,1130566000,인수동
1100000000,서울특별시,1132000000,도봉구,1132051100,창제1동
1100000000,서울특별시,1132000000,도봉구,1132051200,창제2동
1100000000,서울특별시,1132000000,도봉구,1132051300,창제3동
1100000000,서울특별시,1132000000,도봉구,1132051400,창제4동
1100000000,서울특별시,1132000000,도봉구,1132051500,창제5동
1100000000,서울특별시,1132000000,도봉구,1132052100,도봉제1동
1100000000,서울특별시,1132000000,도봉구,1132052200,도봉제2동
1100000000,서울특별시,1132000000,도봉구,1132066000,쌍문제1동
1100000000,서울특별시,1132000000,도봉구,1132067000,쌍문제2동
1100000000,서울특별시,1132000000,도봉구,1132068000,쌍문제3동
1100000000,서울특별시,1132000000,도봉구,1132068100,쌍문제4동
1100000000,서울특별시,1132000000,도봉구,1132069000,방학제1동
1100000000,서울특별시,1132000000,도봉구,1132070000,방학제2동
